Depth	Speed	Tip	Friction	Pressure	SBT
7.18	2	0.39644	0.2248	-0.05281	
7.2	2.29	0.4	0.22652	-0.05096	
7.22	2	0.41059	0.22583	-0.05053	
7.24	2	0.41083	0.22053	-0.05147	
7.26	2.29	0.40425	0.21724	-0.05114	
7.28	2	0.40076	0.21486	-0.05037	
7.3	2.29	0.39869	0.21273	-0.04963	
7.32	2	0.39328	0.21313	-0.04961	
7.34	2	0.38647	0.21323	-0.0483	
7.36	2.29	0.38218	0.2149	-0.04695	
7.38	2	0.37925	0.21411	-0.04421	
7.4	2.29	0.37922	0.21288	-0.04066	
7.42	2	0.37966	0.21294	-0.03759	
7.44	2.29	0.38	0.21206	-0.03466	
7.46	2	0.38019	0.21073	-0.03302	
7.48	2	0.3804	0.21033	-0.0304	
7.5	2.29	0.38191	0.20953	-0.0279	
7.52	2	0.38297	0.20954	-0.02546	
7.54	2	0.38267	0.21076	-0.0235	
7.56	2.29	0.38268	0.21068	-0.02099	
7.58	2	0.38231	0.21128	-0.01812	
7.6	2.29	0.38189	0.21294	-0.01625	
7.62	2	0.38192	0.21413	-0.01392	
7.64	2	0.3828	0.21605	-0.01139	
7.66	2.29	0.3829	0.21756	-0.00892	
7.68	2	0.38329	0.22055	-0.00663	
7.7	2	0.38377	0.22214	-0.00576	
7.72	2.29	0.38417	0.22134	-0.00449	
7.74	2	0.38542	0.22102	-0.00325	
7.76	0.19	0.38554	0.21808	-0.00304	
7.78	2.29	0.38566	0.22067	-0.00234	
7.8	2	0.38565	0.22301	-0.00112	
7.82	2.29	0.38568	0.22343	0.00072	
7.84	2	0.38564	0.22511	0.00258	
7.86	2	0.38728	0.2223	0.00498	
7.88	2.29	0.3895	0.22179	0.0073	
7.9	2	0.39122	0.22272	0.00775	
7.92	2	0.38996	0.22439	0.00713	
7.94	2.29	0.3864	0.22685	0.00805	
7.96	2	0.3857	0.22696	0.01197	
7.98	2.29	0.38761	0.22358	0.01439	
8	2	0.39172	0.22	0.01497	
8.02	2	0.39703	0.21972	0.01356	
8.04	2.29	0.39827	0.21888	0.00911	
8.06	2	0.39954	0.21902	0.00765	
8.08	2	0.40502	0.21587	0.0038	
8.1	2.29	0.40502	0.21502	-0.00673	
8.12	2	0.39905	0.21673	-0.00962	
8.14	2.29	0.39124	0.21933	-0.0087	
8.16	2	0.38554	0.21721	-0.00536	
8.18	2.29	0.38446	0.21478	0.00083	
8.2	2	0.38686	0.21493	0.00566	
8.22	2	0.38834	0.21637	0.0093	
8.24	2.29	0.38751	0.21857	0.01182	
8.26	2	0.38596	0.2211	0.01543	
8.28	2.29	0.38556	0.22246	0.0191	
8.3	1.97	0.38549	0.22285	0.02139	
8.32	2.29	0.38534	0.2234	0.02312	
8.34	2	0.38541	0.22394	0.02438	
8.36	2.29	0.38537	0.22347	0.02591	
8.38	2	0.38526	0.22332	0.02714	
8.4	2	0.38493	0.22273	0.02903	
8.42	2.29	0.38449	0.22302	0.03083	
8.44	2	0.38418	0.22346	0.03291	
8.46	2	0.38439	0.2246	0.03415	
8.48	2.29	0.38491	0.22477	0.03568	
8.5	2	0.38554	0.22532	0.03646	
8.52	2	0.38705	0.22545	0.03673	
8.54	2.29	0.38572	0.22594	0.04004	
8.56	2	0.38371	0.22682	0.04195	
8.58	2.29	0.38351	0.2248	0.04392	
8.6	2	0.38359	0.22289	0.04434	
8.62	2.29	0.38345	0.22265	0.04597	
8.64	2	0.38347	0.22276	0.04667	
8.66	2	0.38318	0.22286	0.04769	
8.68	2.29	0.38335	0.22298	0.04859	
8.7	2	0.38368	0.22347	0.04884	
8.72	0.18	0.38408	0.22417	0.0493	
8.74	2	0.38439	0.22484	0.05004	
8.76	2.29	0.38469	0.22582	0.05061	
8.78	2	0.38509	0.22767	0.05154	
8.8	2	0.38583	0.22879	0.05235	
8.82	2.29	0.38627	0.22909	0.06142	
8.84	2	0.38636	0.22916	0.0572	
8.86	2	0.38611	0.22884	0.05886	
8.88	2.29	0.38571	0.22798	0.05898	
8.9	2	0.38546	0.22679	0.06121	
8.92	2.29	0.38534	0.22601	0.06306	
8.94	2	0.38522	0.22552	0.06613	
8.96	2	0.38583	0.22535	0.069	
8.98	2.29	0.38627	0.22508	0.07132	
9	2	0.38656	0.22531	0.07319	
9.02	2	0.38677	0.22601	0.07477	
9.04	2.29	0.38735	0.22558	0.07661	
9.06	2	0.38683	0.22516	0.07651	
9.08	1.97	0.3859	0.22461	0.0757	
9.1	2.29	0.38611	0.22508	0.07383	
9.12	2	0.38596	0.22537	0.07143	
9.14	2.29	0.38487	0.22524	0.06968	
9.16	2	0.38294	0.22573	0.06448	
9.18	2.29	0.38237	0.22664	0.06452	
9.2	2	0.3827	0.22741	0.06241	
9.22	2.29	0.3834	0.22906	0.05813	
9.24	2	0.38432	0.23141	0.05512	
9.26	2	0.38472	0.23403	0.04883	
9.28	2.29	0.38509	0.23613	0.04277	
9.3	2	0.38554	0.23802	0.03697	
9.32	2.29	0.38653	0.23976	0.03199	
9.34	2	0.38777	0.24125	0.02762	
9.36	2.29	0.38844	0.24253	0.02358	
9.38	2	0.38925	0.24422	0.01952	
9.4	2	0.39023	0.24589	0.01539	
9.42	2.29	0.39059	0.247	0.01216	
9.44	2	0.39135	0.24728	0.00853	
9.46	2	0.39165	0.24842	0.00579	
9.48	2	0.39214	0.2491	0.00268	
9.5	2.24	0.39279	0.2509	-0.00056	
9.52	2	0.3934	0.25198	-0.00308	
9.54	2.29	0.39437	0.25308	-0.00481	
9.56	2	0.39527	0.25497	-0.00598	
9.58	2.29	0.39591	0.25656	-0.00878	
9.6	2	0.39535	0.25747	-0.01158	
9.62	2	0.39534	0.25666	-0.01461	
9.64	2.29	0.39646	0.25627	-0.02492	
9.66	2	0.39583	0.25709	-0.04672	
9.68	2	0.39604	0.25766	-0.04541	
9.7	0.21	0.3967	0.2577	-0.04392	
9.72	2.29	0.39746	0.25767	-0.04312	
9.74	2	0.39729	0.25881	-0.04189	
9.76	2.29	0.39824	0.25928	-0.04069	
9.78	2	0.39833	0.25831	-0.04023	
9.8	2	0.39918	0.25866	-0.0304	
9.82	2.29	0.39961	0.26096	-0.03231	
9.84	2	0.40108	0.2633	-0.03089	
9.86	2	0.40401	0.26416	-0.0294	
9.88	2.29	0.40641	0.26592	-0.03329	
9.9	2	0.40634	0.26815	-0.0486	
9.92	2	0.40574	0.26804	-0.05605	
9.94	2.29	0.40562	0.26819	-0.05446	
9.96	2	0.40563	0.26507	-0.05307	
9.98	2	0.40545	0.26314	-0.05184	
10	2.29	0.4041	0.26232	-0.04985	
10.02	2	0.40339	0.26302	-0.04852	
10.04	2	0.40291	0.26384	-0.04692	
10.06	2.29	0.40345	0.264	-0.0455	
10.08	2	0.4026	0.26208	-0.04448	
10.1	2.29	0.40128	0.26182	-0.04361	
10.12	2	0.39985	0.2591	-0.04335	
10.14	2.29	0.39831	0.25759	-0.04277	
10.16	2	0.39663	0.25454	-0.0416	
10.18	2	0.39515	0.2508	-0.04047	
10.2	2.29	0.39387	0.24875	-0.03973	
10.22	2	0.3929	0.2465	-0.03873	
10.24	2	0.39186	0.24495	-0.03841	
10.26	2.29	0.39061	0.24065	-0.03728	
10.28	2	0.38972	0.23441	-0.03609	
10.3	2.29	0.38953	0.2327	-0.03472	
10.32	2	0.39119	0.23763	-0.03283	
10.34	2.29	0.40098	0.24227	-0.03001	
10.36	2	0.40962	0.24463	-0.02794	
10.38	2	0.41289	0.24627	-0.03314	
10.4	2	0.40829	0.2461	-0.08706	
10.42	2.29	0.40756	0.24327	-0.09451	
10.44	2	0.40955	0.2316	-0.09386	
10.46	2	0.40797	0.22116	-0.0928	
10.48	2.29	0.40634	0.2213	-0.09158	
10.5	2	0.40421	0.22192	-0.09051	
10.52	2.29	0.40324	0.22288	-0.08944	
10.54	2	0.40205	0.22006	-0.0881	
10.56	2	0.39805	0.2189	-0.08645	
10.58	2.29	0.39713	0.21601	-0.0853	
10.6	1.97	0.39754	0.21556	-0.08392	
10.62	2.29	0.3978	0.21546	-0.08272	
10.64	2	0.39446	0.21652	-0.08115	
10.66	2	0.39225	0.21884	-0.07893	
10.68	0.43	0.39121	0.21892	-0.07547	
10.7	2	0.39092	0.2267	-0.07183	
10.72	2	0.3911	0.23286	-0.06933	
10.74	2	0.39109	0.23818	-0.06686	
10.76	2.29	0.39136	0.23926	-0.06537	
10.78	2	0.38996	0.23259	-0.06014	
10.8	0.21	0.39929	0.23277	-0.05826	
10.82	2	0.41545	0.23285	-0.05696	
10.84	2.29	0.42511	0.23511	-0.05872	
10.86	2	0.42053	0.23715	-0.06086	
10.88	2	0.41027	0.23985	-0.06059	
10.9	2.29	0.40472	0.23739	-0.0496	
10.92	2	0.39919	0.23218	-0.05062	
10.94	2	0.3958	0.22296	-0.0496	
10.96	2.29	0.39101	0.21627	-0.04841	
10.98	2	0.38752	0.21068	-0.0448	
11	2	0.38659	0.2086	-0.04076	
11.02	2.29	0.38677	0.2085	-0.03541	
11.04	2	0.38564	0.20979	-0.03209	
11.06	2.29	0.38295	0.21211	-0.02896	
11.08	2	0.38108	0.21408	-0.02451	
11.1	2	0.38159	0.21638	-0.01978	
11.12	2	0.38222	0.21996	-0.01529	
11.14	2.29	0.38311	0.22266	-0.01136	
11.16	2	0.38407	0.22334	-0.01052	
11.18	2.29	0.38461	0.22358	-0.00985	
11.2	2	0.3843	0.22343	-0.01037	
11.22	2.29	0.38373	0.22275	-0.01108	
11.24	2	0.3836	0.2214	-0.01123	
11.26	2.29	0.38326	0.218	-0.01152	
11.28	2	0.38305	0.21689	-0.01176	
11.3	2	0.38237	0.21757	-0.01312	
11.32	2.29	0.38133	0.21808	-0.01363	
11.34	2	0.3793	0.21964	-0.01306	
11.36	2	0.3779	0.22199	-0.01141	
11.38	2.29	0.37709	0.22244	-0.01102	
11.4	2	0.3764	0.23408	-0.01124	
11.42	2.29	0.37751	0.24174	-0.01204	
11.44	2	0.3834	0.24435	-0.01243	
11.46	2.29	0.39219	0.24734	-0.01355	
11.48	2	0.41332	0.25283	-0.01006	
11.5	2	0.4023	0.25157	0.00253	
11.52	2.29	0.39251	0.24985	0.00906	
11.54	2	0.38759	0.24802	0.0144	
11.56	2	0.38594	0.24136	0.02216	
11.58	2.29	0.38427	0.2413	0.01795	
11.6	2	0.39204	0.24	0.03168	
11.62	2	0.39626	0.23953	0.03312	
11.64	2.29	0.39324	0.23848	0.03106	
11.66	2	0.38734	0.2366	0.03068	
11.68	2.29	0.3842	0.23283	0.05804	
11.7	2	0.38391	0.2295	0.06236	
11.72	2	0.38335	0.22685	0.06243	
11.74	2.29	0.3835	0.22667	0.05985	
11.76	2	0.38312	0.22777	0.05426	
11.78	0.18	0.3826	0.22718	0.04495	
11.8	2	0.38161	0.22658	0.04712	
