Depth	Speed	Tip	Friction	Pressure	SBT
75.984	2	0.40618	0.26613	-0.04336	5
76.05	2.29	0.40006	0.26682	-0.0414	5
76.115	2	0.40044	0.26581	-0.04028	5
76.181	2	0.4011	0.25723	-0.03977	5
76.247	2.29	0.39946	0.25607	-0.03891	5
76.312	2	0.39735	0.25447	-0.03802	5
76.378	2.29	0.39598	0.25349	-0.03741	5
76.444	2	0.39529	0.25077	-0.03649	5
76.509	2.29	0.3971	0.24957	-0.03697	5
76.575	2	0.39741	0.25081	-0.03662	5
76.64	2	0.39868	0.25323	-0.03615	5
76.706	2.29	0.39799	0.25532	-0.03518	5
76.772	2	0.39686	0.25385	-0.03403	5
76.837	2	0.3977	0.25454	-0.03315	5
76.903	2.29	0.39982	0.25909	-0.03192	5
76.969	2	0.40516	0.26549	-0.0288	5
77.034	2.29	0.41169	0.27341	-0.02534	5
77.1	1.97	0.42805	0.2824	-0.00853	5
77.165	2	0.43959	0.28617	0.01658	5
77.231	2.29	0.43589	0.29073	0.01227	5
77.297	2	0.42272	0.29379	0.08316	5
77.362	2	0.40906	0.29239	0.15019	1
77.428	2.29	0.40423	0.28764	0.16996	1
77.493	2	0.40338	0.28332	0.16211	1
77.559	2	0.40349	0.28121	0.1438	1
77.625	2.29	0.40339	0.28028	0.14076	1
77.69	2	0.40262	0.27729	0.13728	5
77.756	2	0.40328	0.2754	0.13292	5
77.822	2.29	0.40334	0.2742	0.13345	5
77.887	2	0.40315	0.27396	0.13451	5
77.953	2	0.40279	0.27541	0.13981	5
78.018	2.29	0.4033	0.27708	0.14354	1
78.084	0.18	0.40423	0.27599	0.15423	1
78.15	2	0.40571	0.27491	0.15943	1
78.215	2	0.40708	0.27656	0.1612	1
78.281	2.29	0.40725	0.27522	0.16017	1
78.346	2	0.40573	0.27278	0.16067	1
78.412	2	0.40559	0.27226	0.16532	1
78.478	2	0.40508	0.27028	0.15613	1
78.543	2.29	0.40438	0.27035	0.16097	1
78.609	2	0.4039	0.27307	0.16857	1
78.675	2.29	0.40474	0.27639	0.17431	1
78.74	2	0.40533	0.27991	0.17576	1
78.806	2	0.40804	0.27848	0.17991	1
78.871	2.29	0.40891	0.28034	0.17383	1
78.937	2	0.41013	0.28925	0.17273	1
79.003	2	0.41441	0.28889	0.1725	1
79.068	2	0.41879	0.28806	0.16939	1
79.134	2.29	0.42018	0.28687	0.02626	5
79.199	2	0.41784	0.28527	-0.08515	5
79.265	2	0.41696	0.28247	-0.08878	5
79.331	2.29	0.41244	0.27947	-0.08036	5
79.396	2	0.41172	0.27594	-0.07678	5
79.462	2.29	0.4111	0.2729	-0.07426	5
79.528	2	0.41151	0.27521	-0.07147	5
79.593	2.29	0.41252	0.27699	-0.06958	5
79.659	2	0.41182	0.27851	-0.06773	5
79.724	2	0.41337	0.28113	-0.06542	5
79.79	2.17	0.41383	0.28123	-0.06417	5
79.856	2	0.41423	0.28183	-0.06249	5
79.921	2.29	0.41366	0.28031	-0.06096	5
79.987	2	0.41177	0.2768	-0.05882	5
80.052	2.29	0.41251	0.27403	-0.05729	5
80.118	2	0.41257	0.27279	-0.05535	5
80.184	2	0.4143	0.27417	-0.05401	5
80.249	2.29	0.41429	0.27464	-0.05237	5
80.315	2	0.41628	0.27414	-0.05067	5
